order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(5,0,1)",5,0,1,c,c,9720.979688050968,9759.738211884634,170.63681483954772,29116.922578586098,OK
"(4,1,2)",4,1,2,n,n,9721.329106936177,9755.242815290634,212.46037405716214,45139.41054450925,OK
"(4,1,2)",4,1,2,c,c,9721.329106936177,9755.242815290634,212.46037405716214,45139.41054450925,ERROR
"(4,1,2)",4,1,2,t,t,9721.523231320985,9760.281755154652,254.47543012476945,64757.74453718642,OK
"(4,1,2)",4,1,2,ct,ct,9721.523231320985,9760.281755154652,254.47543012476945,64757.74453718642,ERROR
"(4,1,2)",4,1,2,d,c,9721.523231320985,9760.281755154652,254.47543012476945,64757.74453718642,ERROR
"(5,0,2)",5,0,2,c,c,9721.637406414859,9765.240745727733,163.2114353958942,26637.972643988145,OK
"(2,2,2)",2,2,2,n,n,9721.675157351317,9745.89923474736,262.1064774686263,68699.8055310115,OK
"(2,2,2)",2,2,2,c,c,9721.675157351317,9745.89923474736,262.1064774686263,68699.8055310115,ERROR
"(2,2,2)",2,2,2,t,t,9721.675157351317,9745.89923474736,262.1064774686263,68699.8055310115,ERROR
"(2,2,2)",2,2,2,ct,ct,9721.675157351317,9745.89923474736,262.1064774686263,68699.8055310115,ERROR
"(2,2,2)",2,2,2,d,c,9721.675157351317,9745.89923474736,262.1064774686263,68699.8055310115,ERROR
"(1,2,2)",1,2,2,n,n,9721.807795986579,9741.187057903411,261.4260346733577,68343.57160503563,OK
"(1,2,2)",1,2,2,c,c,9721.807795986579,9741.187057903411,261.4260346733577,68343.57160503563,ERROR
"(1,2,2)",1,2,2,t,t,9721.807795986579,9741.187057903411,261.4260346733577,68343.57160503563,ERROR
"(1,2,2)",1,2,2,ct,ct,9721.807795986579,9741.187057903411,261.4260346733577,68343.57160503563,ERROR
"(1,2,2)",1,2,2,d,c,9721.807795986579,9741.187057903411,261.4260346733577,68343.57160503563,ERROR
"(4,0,2)",4,0,2,c,c,9722.938171021658,9761.70521002377,166.00955181446918,27559.171293640924,OK
"(3,2,1)",3,2,1,n,n,9723.492876200125,9747.716953596168,257.62604671705503,66371.17994705822,OK
"(3,2,1)",3,2,1,c,c,9723.492876200125,9747.716953596168,257.62604671705503,66371.17994705822,ERROR
"(3,2,1)",3,2,1,t,t,9723.492876200125,9747.716953596168,257.62604671705503,66371.17994705822,ERROR
"(3,2,1)",3,2,1,ct,ct,9723.492876200125,9747.716953596168,257.62604671705503,66371.17994705822,ERROR
"(3,2,1)",3,2,1,d,c,9723.492876200125,9747.716953596168,257.62604671705503,66371.17994705822,ERROR
"(3,2,2)",3,2,2,n,n,9723.663818847836,9752.732711723085,261.80838930189316,68543.63270885166,OK
"(3,2,2)",3,2,2,c,c,9723.663818847836,9752.732711723085,261.80838930189316,68543.63270885166,ERROR
"(3,2,2)",3,2,2,t,t,9723.663818847836,9752.732711723085,261.80838930189316,68543.63270885166,ERROR
"(3,2,2)",3,2,2,ct,ct,9723.663818847836,9752.732711723085,261.80838930189316,68543.63270885166,ERROR
"(3,2,2)",3,2,2,d,c,9723.663818847836,9752.732711723085,261.80838930189316,68543.63270885166,ERROR
"(4,0,0)",4,0,0,t,t,9724.48119281539,9753.556472066975,362.08879199209605,131108.2932862954,OK
"(4,0,1)",4,0,1,t,t,9724.836453807839,9758.757612934687,372.5264917327397,138775.987042703,OK
"(0,1,2)",0,1,2,n,n,9725.489968600305,9740.027608226097,216.8275405262728,47014.18233067248,OK
"(0,1,2)",0,1,2,c,c,9725.489968600305,9740.027608226097,216.8275405262728,47014.18233067248,ERROR
"(3,0,0)",3,0,0,ct,ct,9725.532089882408,9754.613748719921,319.6199213032544,102156.89409389853,OK
"(1,0,2)",1,0,2,ct,ct,9725.558229840282,9754.639888677795,319.72761561034764,102225.74818387821,OK
"(0,1,2)",0,1,2,t,t,9726.42979488994,9745.813314390996,257.84205410532496,66482.52486525332,OK
"(0,1,2)",0,1,2,ct,ct,9726.42979488994,9745.813314390996,257.84205410532496,66482.52486525332,ERROR
"(0,1,2)",0,1,2,d,c,9726.42979488994,9745.813314390996,257.84205410532496,66482.52486525332,ERROR
"(3,1,0)",3,1,0,n,n,9726.875866786275,9746.259386287331,213.14244454660457,45429.7016673024,OK
"(3,1,0)",3,1,0,c,c,9726.875866786275,9746.259386287331,213.14244454660457,45429.7016673024,ERROR
"(1,1,2)",1,1,2,n,n,9727.116356722669,9746.499876223725,214.0080348196043,45799.43896734896,OK
"(1,1,2)",1,1,2,c,c,9727.116356722669,9746.499876223725,214.0080348196043,45799.43896734896,ERROR
"(2,0,2)",2,0,2,ct,ct,9727.269111203434,9761.19771318053,320.7568241981052,102884.9402696542,OK
"(3,0,1)",3,0,1,ct,ct,9727.523602506575,9761.452204483672,319.75202536564063,102241.3577254293,OK
"(3,1,0)",3,1,0,t,t,9727.770579607548,9751.999978983868,253.45579825244718,64239.84166778521,OK
"(3,1,0)",3,1,0,ct,ct,9727.770579607548,9751.999978983868,253.45579825244718,64239.84166778521,ERROR
"(3,1,0)",3,1,0,d,c,9727.770579607548,9751.999978983868,253.45579825244718,64239.84166778521,ERROR
"(1,1,1)",1,1,1,t,t,9727.90558092805,9747.293353486391,335.47164665608756,112541.22571014687,OK
"(1,1,1)",1,1,1,ct,ct,9727.90558092805,9747.293353486391,335.47164665608756,112541.22571014687,ERROR
"(1,1,1)",1,1,1,d,c,9727.90558092805,9747.293353486391,335.47164665608756,112541.22571014687,ERROR
"(4,0,2)",4,0,2,t,t,9728.315266802081,9767.082305804193,367.35347802681736,134948.57781839938,OK
"(4,0,0)",4,0,0,n,n,9728.402085684835,9752.631485061154,251.66894685632096,63337.2588117697,OK
"(4,0,0)",4,0,0,d,n,9728.402085684835,9752.631485061154,251.66894685632096,63337.2588117697,OK
"(3,1,1)",3,1,1,n,n,9728.758229698056,9752.987629074376,213.26770122855933,45483.11238731405,OK
"(3,1,1)",3,1,1,c,c,9728.758229698056,9752.987629074376,213.26770122855933,45483.11238731405,ERROR
"(0,2,1)",0,2,1,n,n,9729.388408980723,9739.080168731252,262.4555505945166,68882.91603787085,OK
"(0,2,1)",0,2,1,c,c,9729.388408980723,9739.080168731252,262.4555505945166,68882.91603787085,ERROR
"(0,2,1)",0,2,1,t,t,9729.388408980723,9739.080168731252,262.4555505945166,68882.91603787085,ERROR
"(0,2,1)",0,2,1,ct,ct,9729.388408980723,9739.080168731252,262.4555505945166,68882.91603787085,ERROR
"(0,2,1)",0,2,1,d,c,9729.388408980723,9739.080168731252,262.4555505945166,68882.91603787085,ERROR
"(3,1,1)",3,1,1,t,t,9729.656614824205,9758.73189407579,253.82794466264508,64428.62549166281,OK
"(3,1,1)",3,1,1,ct,ct,9729.656614824205,9758.73189407579,253.82794466264508,64428.62549166281,ERROR
"(3,1,1)",3,1,1,d,c,9729.656614824205,9758.73189407579,253.82794466264508,64428.62549166281,ERROR
"(2,1,1)",2,1,1,t,t,9729.851607614917,9754.086323312844,334.5616171501432,111931.47567011899,OK
"(2,1,1)",2,1,1,ct,ct,9729.851607614917,9754.086323312844,334.5616171501432,111931.47567011899,ERROR
"(2,1,1)",2,1,1,d,c,9729.851607614917,9754.086323312844,334.5616171501432,111931.47567011899,ERROR
"(4,0,0)",4,0,0,c,c,9729.968152624595,9759.04343187618,165.93118644949533,27533.15863653718,OK
"(3,1,2)",3,1,2,n,n,9730.142850654081,9759.218129905667,219.0433691357483,47979.99756233968,OK
"(3,1,2)",3,1,2,c,c,9730.142850654081,9759.218129905667,219.0433691357483,47979.99756233968,ERROR
"(4,0,1)",4,0,1,n,n,9730.69721331173,9759.772492563316,252.29299169563848,63651.7536587355,OK
"(4,0,1)",4,0,1,d,n,9730.69721331173,9759.772492563316,252.29299169563848,63651.7536587355,OK
"(1,2,1)",1,2,1,n,n,9730.806189247334,9745.343828873127,260.22672585172336,67717.94884750799,OK
"(1,2,1)",1,2,1,c,c,9730.806189247334,9745.343828873127,260.22672585172336,67717.94884750799,ERROR
"(1,2,1)",1,2,1,t,t,9730.806189247334,9745.343828873127,260.22672585172336,67717.94884750799,ERROR
"(1,2,1)",1,2,1,ct,ct,9730.806189247334,9745.343828873127,260.22672585172336,67717.94884750799,ERROR
"(1,2,1)",1,2,1,d,c,9730.806189247334,9745.343828873127,260.22672585172336,67717.94884750799,ERROR
"(3,1,2)",3,1,2,t,t,9731.1619061628,9765.08306528965,259.60621879945467,67395.38883935031,OK
"(3,1,2)",3,1,2,ct,ct,9731.1619061628,9765.08306528965,259.60621879945467,67395.38883935031,ERROR
"(3,1,2)",3,1,2,d,c,9731.1619061628,9765.08306528965,259.60621879945467,67395.38883935031,ERROR
"(4,0,1)",4,0,1,c,c,9732.216237828718,9766.137396955566,165.43548107683753,27368.898399124668,OK
"(2,2,1)",2,2,1,n,n,9732.392796227628,9751.776315728684,258.7422143032604,66947.53346255435,OK
"(2,2,1)",2,2,1,c,c,9732.392796227628,9751.776315728684,258.7422143032604,66947.53346255435,ERROR
"(2,2,1)",2,2,1,t,t,9732.392796227628,9751.776315728684,258.7422143032604,66947.53346255435,ERROR
"(2,2,1)",2,2,1,ct,ct,9732.392796227628,9751.776315728684,258.7422143032604,66947.53346255435,ERROR
"(2,2,1)",2,2,1,d,c,9732.392796227628,9751.776315728684,258.7422143032604,66947.53346255435,ERROR
"(4,0,2)",4,0,2,n,n,9732.395528403522,9766.31668753037,258.8432636681001,66999.83514635361,OK
"(4,0,2)",4,0,2,d,n,9732.395528403522,9766.31668753037,258.8432636681001,66999.83514635361,OK
"(3,0,0)",3,0,0,t,t,9732.581602329814,9756.81631802774,366.5379769211912,134350.08852547972,OK
"(1,0,2)",1,0,2,t,t,9732.615985601944,9756.85070129987,366.456334126597,134290.24482150414,OK
"(2,0,1)",2,0,1,ct,ct,9732.945169714336,9762.033201361794,326.1461086856813,106371.28421081226,OK
"(1,0,1)",1,0,1,ct,ct,9733.096584072991,9757.336610445873,320.7220485702962,102862.63243912741,OK
"(2,0,0)",2,0,0,ct,ct,9733.099323772727,9757.339350145608,320.7299627998358,102867.70903758406,OK
"(0,1,1)",0,1,1,n,n,9733.355070771308,9743.048957050478,219.20852516955327,48052.37750701067,OK
"(0,1,1)",0,1,1,c,c,9733.355070771308,9743.048957050478,219.20852516955327,48052.37750701067,ERROR
"(0,1,1)",0,1,1,t,t,9734.307920540894,9748.84874995965,261.4301989148968,68345.7489046825,OK
"(0,1,1)",0,1,1,ct,ct,9734.307920540894,9748.84874995965,261.4301989148968,68345.7489046825,ERROR
"(0,1,1)",0,1,1,d,c,9734.307920540894,9748.84874995965,261.4301989148968,68345.7489046825,ERROR
"(3,0,1)",3,0,1,t,t,9734.572631922574,9763.654290760087,366.0391357515012,133984.64890170592,OK
"(2,0,2)",2,0,2,t,t,9734.77719593513,9763.858854772643,367.9834497417201,135411.81928381705,OK
"(2,1,0)",2,1,0,n,n,9734.955088252498,9749.495917671255,216.9886613787727,47084.079166951684,OK
"(2,1,0)",2,1,0,c,c,9734.955088252498,9749.495917671255,216.9886613787727,47084.079166951684,ERROR
"(1,1,1)",1,1,1,n,n,9735.419648062358,9749.960477481114,217.02711499518372,47100.768643132695,OK
"(1,1,1)",1,1,1,c,c,9735.419648062358,9749.960477481114,217.02711499518372,47100.768643132695,ERROR
"(2,1,0)",2,1,0,t,t,9735.872356535547,9755.260129093887,257.45110460054303,66281.07126003974,OK
"(2,1,0)",2,1,0,ct,ct,9735.872356535547,9755.260129093887,257.45110460054303,66281.07126003974,ERROR
"(2,1,0)",2,1,0,d,c,9735.872356535547,9755.260129093887,257.45110460054303,66281.07126003974,ERROR
"(3,0,0)",3,0,0,n,n,9736.513486707496,9755.901259265836,255.2996472489372,65177.90988543176,OK
"(3,0,0)",3,0,0,d,n,9736.513486707496,9755.901259265836,255.2996472489372,65177.90988543176,OK
"(1,0,2)",1,0,2,n,n,9736.54713987274,9755.934912431081,254.77498537632428,64910.29317350625,OK
"(1,0,2)",1,0,2,d,n,9736.54713987274,9755.934912431081,254.77498537632428,64910.29317350625,OK
"(3,0,2)",3,0,2,t,t,9736.759497069266,9770.688099046363,363.9973300256177,132494.05626577846,OK
"(2,1,1)",2,1,1,n,n,9737.289037455157,9756.676810013498,217.24984969916537,47197.497194309944,OK
"(2,1,1)",2,1,1,c,c,9737.289037455157,9756.676810013498,217.24984969916537,47197.497194309944,ERROR
"(3,0,0)",3,0,0,c,c,9737.964022857454,9762.19873855538,166.33717194819047,27668.054771721887,OK
"(1,0,2)",1,0,2,c,c,9738.00138317591,9762.236098873836,166.29253475077618,27653.207113838107,OK
"(2,0,2)",2,0,2,n,n,9738.559477693725,9762.794193391652,254.92055305669527,64984.488370731386,OK
"(2,0,2)",2,0,2,d,n,9738.559477693725,9762.794193391652,254.92055305669527,64984.488370731386,OK
"(3,0,1)",3,0,1,n,n,9738.922539780111,9763.157255478038,256.05725057647476,65565.31557278357,OK
"(3,0,1)",3,0,1,d,n,9738.922539780111,9763.157255478038,256.05725057647476,65565.31557278357,OK
"(3,0,1)",3,0,1,c,c,9739.950874218364,9769.032533055877,166.1890755775843,27618.808841332026,OK
"(2,0,2)",2,0,2,c,c,9740.06891654342,9769.150575380932,166.30881125275047,27658.62070030298,OK
"(1,0,1)",1,0,1,t,t,9740.461668334596,9759.8536894329,371.9709837039155,138362.4127176586,OK
"(2,0,0)",2,0,0,t,t,9740.482871630755,9759.87489272906,372.4259510509343,138701.0890161929,OK
"(1,0,0)",1,0,0,ct,ct,9740.62955878374,9760.025823914273,321.76509460915446,103532.77610883814,OK
"(0,1,0)",0,1,0,n,n,9741.567251615183,9746.415256889759,221.73297120639313,49165.51052001516,OK
"(0,1,0)",0,1,0,c,c,9741.567251615183,9746.415256889759,221.73297120639313,49165.51052001516,ERROR
"(2,0,1)",2,0,1,t,t,9742.15098714814,9766.39101352102,436.19936695736243,190269.8877340037,OK
"(3,0,2)",3,0,2,n,n,9742.209893160853,9771.291551998365,257.21564932845274,66159.89025945758,OK
"(3,0,2)",3,0,2,d,n,9742.209893160853,9771.291551998365,257.21564932845274,66159.89025945758,OK
"(0,1,0)",0,1,0,t,t,9742.60510500768,9752.301115556833,263.32707799734163,69341.15000661803,OK
"(0,1,0)",0,1,0,ct,ct,9742.60510500768,9752.301115556833,263.32707799734163,69341.15000661803,ERROR
"(0,1,0)",0,1,0,d,c,9742.60510500768,9752.301115556833,263.32707799734163,69341.15000661803,ERROR
"(1,1,0)",1,1,0,n,n,9743.105397096828,9752.80140764598,219.41746527164352,48144.024066232894,OK
"(1,1,0)",1,1,0,c,c,9743.105397096828,9752.80140764598,219.41746527164352,48144.024066232894,ERROR
"(3,0,2)",3,0,2,c,c,9743.578352147711,9777.506954124809,165.94650103311525,27538.241205133723,OK
"(1,1,0)",1,1,0,t,t,9744.103978478563,9758.647994302291,259.9956341639894,67597.729784335,OK
"(1,1,0)",1,1,0,ct,ct,9744.103978478563,9758.647994302291,259.9956341639894,67597.729784335,ERROR
"(1,1,0)",1,1,0,d,c,9744.103978478563,9758.647994302291,259.9956341639894,67597.729784335,ERROR
"(1,0,1)",1,0,1,n,n,9744.676529014267,9759.220544837995,255.83640468299475,65452.26596112106,OK
"(1,0,1)",1,0,1,d,n,9744.676529014267,9759.220544837995,255.83640468299475,65452.26596112106,OK
"(2,0,0)",2,0,0,n,n,9744.7161775555,9759.260193379228,256.2430063814919,65660.4783194253,OK
"(2,0,0)",2,0,0,d,n,9744.7161775555,9759.260193379228,256.2430063814919,65660.4783194253,OK
"(2,0,1)",2,0,1,n,n,9745.876689285265,9765.26871038357,274.34323663264365,75264.2114860747,OK
"(2,0,1)",2,0,1,d,n,9745.876689285265,9765.26871038357,274.34323663264365,75264.2114860747,OK
"(1,0,1)",1,0,1,c,c,9746.06772602402,9765.459747122326,167.08420952884916,27917.13307388037,OK
"(2,0,0)",2,0,0,c,c,9746.100388225332,9765.492409323637,167.19255259763483,27953.34964411289,OK
"(1,0,0)",1,0,0,t,t,9748.368487506435,9762.915686354336,378.2281061815667,143056.5003056945,OK
"(2,0,1)",2,0,1,c,c,9749.360933798984,9773.600960171865,191.27120789403196,36584.674969242,OK
"(1,0,0)",1,0,0,n,n,9752.911075664248,9762.609208229514,256.9883019455851,66042.98733687522,OK
"(1,0,0)",1,0,0,d,n,9752.911075664248,9762.609208229514,256.9883019455851,66042.98733687522,OK
"(1,0,0)",1,0,0,c,c,9754.224312986258,9768.771511834158,167.69696923058243,28122.27348912291,OK
"(5,2,0)",5,2,0,n,n,9845.986019201555,9875.042118894986,1820.1078487534644,3312792.5810939637,OK
"(5,2,0)",5,2,0,c,c,9845.986019201555,9875.042118894986,1820.1078487534644,3312792.5810939637,ERROR
"(5,2,0)",5,2,0,t,t,9845.986019201555,9875.042118894986,1820.1078487534644,3312792.5810939637,ERROR
"(5,2,0)",5,2,0,ct,ct,9845.986019201555,9875.042118894986,1820.1078487534644,3312792.5810939637,ERROR
"(5,2,0)",5,2,0,d,c,9845.986019201555,9875.042118894986,1820.1078487534644,3312792.5810939637,ERROR
"(4,2,0)",4,2,0,n,n,9863.685841430237,9887.904591175267,1865.4727696090401,3479988.6541528227,OK
"(4,2,0)",4,2,0,c,c,9863.685841430237,9887.904591175267,1865.4727696090401,3479988.6541528227,ERROR
"(4,2,0)",4,2,0,t,t,9863.685841430237,9887.904591175267,1865.4727696090401,3479988.6541528227,ERROR
"(4,2,0)",4,2,0,ct,ct,9863.685841430237,9887.904591175267,1865.4727696090401,3479988.6541528227,ERROR
"(4,2,0)",4,2,0,d,c,9863.685841430237,9887.904591175267,1865.4727696090401,3479988.6541528227,ERROR
"(3,2,0)",3,2,0,n,n,9927.956761157391,9947.336023074224,2157.117994272531,4653158.041214348,OK
"(3,2,0)",3,2,0,c,c,9927.956761157391,9947.336023074224,2157.117994272531,4653158.041214348,ERROR
"(3,2,0)",3,2,0,t,t,9927.956761157391,9947.336023074224,2157.117994272531,4653158.041214348,ERROR
