order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(3,1,2)",3,1,2,c,c,5011.680457720664,5040.749350595914,6.624024622761987,43.87770220295709,ERROR
"(1,0,2)",1,0,2,ct,ct,5011.823916529137,5040.899195780721,7.47668819349861,55.90086634280151,OK
"(3,0,0)",3,0,0,ct,ct,5011.8346285385205,5040.909907790105,7.486933257511858,56.05416960243712,OK
"(4,0,1)",4,0,1,n,n,5011.919145475027,5040.988038350277,5.497763722873733,30.225405952546456,OK
"(4,0,1)",4,0,1,d,n,5011.919145475027,5040.988038350277,5.497763722873733,30.225405952546456,OK
"(4,0,2)",4,0,2,t,t,5012.058130959505,5050.816654793171,6.638215576672278,44.06590604237446,OK
"(1,1,1)",1,1,1,t,t,5012.064806121702,5031.448325622758,5.3976949263848155,29.135110518320378,OK
"(1,1,1)",1,1,1,ct,ct,5012.064806121702,5031.448325622758,5.3976949263848155,29.135110518320378,ERROR
"(1,1,1)",1,1,1,d,c,5012.064806121702,5031.448325622758,5.3976949263848155,29.135110518320378,ERROR
"(2,1,0)",2,1,0,t,t,5012.09697492903,5031.480494430086,5.3742988085510355,28.883087683593082,OK
"(2,1,0)",2,1,0,ct,ct,5012.09697492903,5031.480494430086,5.3742988085510355,28.883087683593082,ERROR
"(2,1,0)",2,1,0,d,c,5012.09697492903,5031.480494430086,5.3742988085510355,28.883087683593082,ERROR
"(1,0,2)",1,0,2,n,n,5012.2554421320665,5031.638961633123,5.475917521889911,29.985672706540946,OK
"(1,0,2)",1,0,2,d,n,5012.2554421320665,5031.638961633123,5.475917521889911,29.985672706540946,OK
"(3,0,0)",3,0,0,n,n,5012.2782027984185,5031.661722299475,5.459937245467783,29.81091472444632,OK
"(3,0,0)",3,0,0,d,n,5012.2782027984185,5031.661722299475,5.459937245467783,29.81091472444632,OK
"(1,0,1)",1,0,1,t,t,5012.349070922836,5031.736843481178,6.5558529542903,42.97920795827685,OK
"(2,1,1)",2,1,1,n,n,5012.3584479903675,5031.741967491424,6.643122684532507,44.131079001750386,OK
"(2,1,1)",2,1,1,c,c,5012.3584479903675,5031.741967491424,6.643122684532507,44.131079001750386,ERROR
"(2,0,0)",2,0,0,t,t,5012.367648091291,5031.7554206496325,6.573213151550735,43.207131135719536,OK
"(5,0,2)",5,0,2,c,c,5012.776549985358,5056.370299526414,10.525420554589372,110.78447785097244,OK
"(1,2,1)",1,2,1,n,n,5012.881779209766,5027.416225647391,4.8356269004806265,23.383287520651873,OK
"(1,2,1)",1,2,1,c,c,5012.881779209766,5027.416225647391,4.8356269004806265,23.383287520651873,ERROR
"(1,2,1)",1,2,1,t,t,5012.881779209766,5027.416225647391,4.8356269004806265,23.383287520651873,ERROR
"(1,2,1)",1,2,1,ct,ct,5012.881779209766,5027.416225647391,4.8356269004806265,23.383287520651873,ERROR
"(1,2,1)",1,2,1,d,c,5012.881779209766,5027.416225647391,4.8356269004806265,23.383287520651873,ERROR
"(3,2,2)",3,2,2,n,n,5013.141858707553,5042.204358401591,4.836129666991487,23.38815015595519,OK
"(3,2,2)",3,2,2,c,c,5013.141858707553,5042.204358401591,4.836129666991487,23.38815015595519,ERROR
"(3,2,2)",3,2,2,t,t,5013.141858707553,5042.204358401591,4.836129666991487,23.38815015595519,ERROR
"(3,2,2)",3,2,2,ct,ct,5013.141858707553,5042.204358401591,4.836129666991487,23.38815015595519,ERROR
"(3,2,2)",3,2,2,d,c,5013.141858707553,5042.204358401591,4.836129666991487,23.38815015595519,ERROR
"(0,1,0)",0,1,0,n,n,5013.276068694508,5018.123011834093,6.459594517537628,41.72636133100218,OK
"(0,1,0)",0,1,0,c,c,5013.276068694508,5018.123011834093,6.459594517537628,41.72636133100218,ERROR
"(4,0,1)",4,0,1,c,c,5013.422634651707,5047.3363430061645,10.502306309905268,110.29843782707601,OK
"(4,0,2)",4,0,2,ct,ct,5013.4874609304425,5057.090800243317,7.539827980212152,56.84900597119007,OK
"(3,0,1)",3,0,1,ct,ct,5013.809556193648,5047.7307153204965,7.46594926292775,55.74039839661142,OK
"(1,0,2)",1,0,2,c,c,5013.822890822001,5038.052290198321,10.537067388135302,111.02978914210452,OK
"(3,0,0)",3,0,0,c,c,5013.843372671481,5038.072772047802,10.55307824314884,111.36746040602144,OK
"(2,1,1)",2,1,1,t,t,5014.045661387837,5038.275060764157,5.354245609660604,28.667946048569853,OK
"(2,1,1)",2,1,1,ct,ct,5014.045661387837,5038.275060764157,5.354245609660604,28.667946048569853,ERROR
"(2,1,1)",2,1,1,d,c,5014.045661387837,5038.275060764157,5.354245609660604,28.667946048569853,ERROR
"(3,1,2)",3,1,2,t,t,5014.052055789356,5047.965764143813,5.260726123115191,27.675239342426586,OK
