order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(3,1,0)",3,1,0,t,t,2814.638307351989,4.674710158560021,21.852915066544263,OK,
"(4,1,1)",4,1,1,t,t,2810.3005710886027,4.698448021786027,22.075413813425033,OK,
"(5,1,0)",5,1,0,t,t,2809.3808545649954,4.7011408889539155,22.10072565779441,OK,
"(4,1,0)",4,1,0,t,t,2809.5244353368557,4.740689641695976,22.474138278883522,OK,
"(5,1,2)",5,1,2,t,t,2810.8428540964405,4.754011858355289,22.60062874938271,OK,
"(2,1,2)",2,1,2,t,t,2816.8856867455497,4.780424306961733,22.85245655459057,OK,
"(3,1,1)",3,1,1,t,t,2814.4581706914855,4.789662604643316,22.940867866318587,OK,
"(4,1,2)",4,1,2,t,t,2811.062598659574,4.790514934784693,22.949033340395196,OK,
"(3,1,2)",3,1,2,t,t,2815.7648324793704,4.790826982159401,22.952023172986557,OK,
"(5,0,2)",5,0,2,ct,ct,2812.538643621712,5.768093235825547,33.27089957717643,OK,
"(5,0,1)",5,0,1,c,c,2814.7939564664002,5.810917287059186,33.76675971704329,OK,
"(4,0,1)",4,0,1,c,c,2819.182888970346,5.812934424311334,33.790206621343735,OK,
"(4,0,2)",4,0,2,c,c,2820.453212694065,5.821377630195735,33.888437513343305,OK,
"(5,0,0)",5,0,0,c,c,2814.2202930962467,5.829663273303881,33.984973880108114,OK,
"(5,0,2)",5,0,2,c,c,2815.8215609553813,5.8312163531401096,34.00308415712864,OK,
"(4,0,0)",4,0,0,c,c,2818.950631611505,5.83181516094911,34.01006807147589,OK,
"(3,0,2)",3,0,2,c,c,2824.435621416571,5.8616324099185615,34.35873450900768,OK,
"(3,0,2)",3,0,2,ct,ct,2819.9382302215367,5.877979492082911,34.55064290934728,OK,
"(2,0,0)",2,0,0,c,c,2821.750988837809,5.8923310089022385,34.71956471847087,OK,
"(5,0,0)",5,0,0,ct,ct,2810.223689832308,5.905905356641773,34.87971808160998,OK,
"(4,0,2)",4,0,2,ct,ct,2816.440546914827,5.936378068466449,35.240584571769446,OK,
"(4,0,1)",4,0,1,ct,ct,2815.1361310700504,5.946869332541418,35.36525485832161,OK,
"(5,0,1)",5,0,1,ct,ct,2810.7040651537127,5.956203239889469,35.47635703486981,OK,
"(2,0,1)",2,0,1,c,c,2822.692546249952,5.9665041870621,35.59917221422956,OK,
"(3,0,1)",3,0,1,c,c,2822.6336789812462,5.976242732823066,35.715477201620516,OK,
"(3,0,0)",3,0,0,c,c,2820.9664135120893,5.977572317750905,35.73137081394192,OK,
"(2,0,2)",2,0,2,c,c,2822.6258463859144,5.980732142817294,35.76915696412794,OK,
